Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
HC Brook,3,3,1,147,62,73.50,91,161.53,0,1,0,13,6
(Northern Superchargers (Men)),,,,,,,,,,,,,
DJM Short,4,4,2,134,69*,67.00,102,131.37,0,2,1,16,2
(Trent Rockets (Men)),,,,,,,,,,,,,
JM Bairstow,2,2,0,128,72,64.00,75,170.66,0,2,0,10,8
(Welsh Fire (Men)),,,,,,,,,,,,,
BM Duckett,3,3,0,126,53,42.00,82,153.65,0,1,0,17,1
(Welsh Fire (Men)),,,,,,,,,,,,,
LS Livingstone,4,4,2,122,68*,61.00,81,150.61,0,1,0,9,7
(Birmingham Phoenix (Men)),,,,,,,,,,,,,
DJ Malan,4,4,1,122,62*,40.66,100,122.00,0,2,1,12,4
(Trent Rockets (Men)),,,,,,,,,,,,,
JM Vince,4,4,0,106,60,26.50,77,137.66,0,1,1,11,3
(Southern Brave (Men)),,,,,,,,,,,,,
AL Davies,4,4,0,100,50,25.00,74,135.13,0,1,0,12,1
(Southern Brave (Men)),,,,,,,,,,,,,
AD Hales,4,4,1,99,40*,33.00,71,139.43,0,0,1,9,5
(Trent Rockets (Men)),,,,,,,,,,,,,
DP Conway,4,4,0,97,34,24.25,86,112.79,0,0,0,10,1
(Southern Brave (Men)),,,,,,,,,,,,,
MM Ali,4,4,0,81,40,20.25,68,119.11,0,0,1,6,3
(Birmingham Phoenix (Men)),,,,,,,,,,,,,
RA Whiteley,4,4,1,81,39*,27.00,57,142.10,0,0,0,8,3
(Southern Brave (Men)),,,,,,,,,,,,,
JM Clarke,3,3,0,79,58,26.33,49,161.22,0,1,0,7,4
(Manchester Originals (Men)),,,,,,,,,,,,,
JP Inglis,4,3,0,78,55,26.00,58,134.48,0,1,0,8,2
(London Spirit (Men)),,,,,,,,,,,,,
JJ Roy,3,2,1,72,52*,72.00,55,130.90,0,1,0,6,3
(Oval Invincibles (Men)),,,,,,,,,,,,,
FH Allen,4,4,0,69,43,17.25,49,140.81,0,0,0,7,2
(Birmingham Phoenix (Men)),,,,,,,,,,,,,
JA Simpson,3,3,1,67,42,33.50,47,142.55,0,0,0,8,1
(Northern Superchargers (Men)),,,,,,,,,,,,,
C Munro,3,3,1,66,33*,33.00,55,120.00,0,0,0,8,2
(Manchester Originals (Men)),,,,,,,,,,,,,
MAH Hammond,4,4,1,66,44*,22.00,49,134.69,0,0,0,8,1
(Birmingham Phoenix (Men)),,,,,,,,,,,,,
Z Crawley,2,1,0,64,64,64.00,40,160.00,0,1,0,6,3
(London Spirit (Men)),,,,,,,,,,,,,
TK Curran,3,2,2,63,34*,-,42,150.00,0,0,0,6,2
(Oval Invincibles (Men)),,,,,,,,,,,,,
CA Lynn,3,3,0,61,48,20.33,63,96.82,0,0,0,5,1
(Northern Superchargers (Men)),,,,,,,,,,,,,
PD Salt,3,3,0,56,30,18.66,42,133.33,0,0,0,8,0
(Manchester Originals (Men)),,,,,,,,,,,,,
T Banton,3,3,0,53,34,17.66,40,132.50,0,0,0,7,2
(Welsh Fire (Men)),,,,,,,,,,,,,
SW Billings,3,2,0,52,49,26.00,34,152.94,0,0,0,4,2
(Oval Invincibles (Men)),,,,,,,,,,,,,
Q de Kock,3,3,0,51,27,17.00,25,204.00,0,0,0,4,4
(Southern Brave (Men)),,,,,,,,,,,,,
AM Rossington,2,2,0,49,45,24.50,27,181.48,0,0,0,6,2
(London Spirit (Men)),,,,,,,,,,,,,
SR Patel,4,3,0,47,31,15.66,35,134.28,0,0,0,2,3
(Trent Rockets (Men)),,,,,,,,,,,,,
JL du Plooy,1,1,0,43,43,43.00,22,195.45,0,0,0,0,4
(Welsh Fire (Men)),,,,,,,,,,,,,
CG Benjamin,4,3,2,42,24*,42.00,30,140.00,0,0,0,4,2
(Birmingham Phoenix (Men)),,,,,,,,,,,,,
CR Brathwaite,3,3,2,42,37,42.00,32,131.25,0,0,0,3,1
(Manchester Originals (Men)),,,,,,,,,,,,,
CJ Jordan,4,3,1,39,17*,19.50,28,139.28,0,0,0,4,1
(Southern Brave (Men)),,,,,,,,,,,,,
JC Buttler,2,2,0,38,30,19.00,41,92.68,0,0,0,5,0
(Manchester Originals (Men)),,,,,,,,,,,,,
GD Phillips,3,3,1,38,23,19.00,33,115.15,0,0,0,2,2
(Welsh Fire (Men)),,,,,,,,,,,,,
WCF Smeed,1,1,0,36,36,36.00,13,276.92,0,0,0,3,3
(Birmingham Phoenix (Men)),,,,,,,,,,,,,
A Lyth,3,3,0,36,25,12.00,30,120.00,0,0,0,5,1
(Northern Superchargers (Men)),,,,,,,,,,,,,
EJG Morgan,4,3,0,36,18,12.00,41,87.80,0,0,0,2,0
(London Spirit (Men)),,,,,,,,,,,,,
JDS Neesham,3,3,1,36,30*,18.00,17,211.76,0,0,1,4,2
(Welsh Fire (Men)),,,,,,,,,,,,,
DJ Bell-Drummond,3,3,0,32,12,10.66,36,88.88,0,0,0,1,1
(Birmingham Phoenix (Men)),,,,,,,,,,,,,
RS Bopara,4,3,0,32,17,10.66,33,96.96,0,0,0,2,0
(London Spirit (Men)),,,,,,,,,,,,,
RE van der Merwe,4,3,3,32,25*,-,25,128.00,0,0,0,3,1
(London Spirit (Men)),,,,,,,,,,,,,
MJJ Critchley,3,1,1,30,30*,-,17,176.47,0,0,0,5,0
(Welsh Fire (Men)),,,,,,,,,,,,,
JL Denly,4,3,0,28,25,9.33,22,127.27,0,0,1,1,2
(London Spirit (Men)),,,,,,,,,,,,,
Rashid Khan,4,2,0,26,25,13.00,17,152.94,0,0,0,4,1
(Trent Rockets (Men)),,,,,,,,,,,,,
Mohammad Nabi,4,3,1,25,10,12.50,24,104.16,0,0,0,1,1
(London Spirit (Men)),,,,,,,,,,,,,
T Kohler-Cadmore,2,2,0,24,18,12.00,19,126.31,0,0,0,3,0
(Northern Superchargers (Men)),,,,,,,,,,,,,
SP Narine,3,2,0,24,22,12.00,16,150.00,0,0,0,0,3
(Oval Invincibles (Men)),,,,,,,,,,,,,
TJ Moores,4,3,2,24,13*,24.00,19,126.31,0,0,0,0,2
(Trent Rockets (Men)),,,,,,,,,,,,,
CG Harrison,3,1,0,23,23,23.00,16,143.75,0,0,0,3,0
(Manchester Originals (Men)),,,,,,,,,,,,,
